English,Bahasa Melayu,简体中文,繁體中文,日本語,Arabic - العربية - AR,Arabic- Extra,Bahasa Indonesia,Dutch,Svenska,Filipino (Tagalog),Español (México),German/ Deutsch,Myanmar,Polish/Polski,Italian/Italiano,Hindi
Here you can find a list of sources handpicked by the team.,Anda boleh mencari senarai sumber yang dipilih oleh kami di sini.,,,チームが厳選した情報源のリストはこちらからご覧になれます,هنا قائمة بالمصادر التي اختارها فريقنا بشكل يدوي و دقيق.,,,,Här hittar du en lista av källor som är handplockade av teamet.,Dito ay makakahanap kayo ng mga pinaghalawang impormasyon na pinili ng aming grupo. ,Esta es una lista de fuentes seleccionada por nuestro equipo.,"Hier können Sie eine Liste der Quellen finden, die vom Team handverlesen wurden.",,,,
Title,Tajuk,,,タイトル、表題,العنوان,,,,Titel,Pamagat,Título,Titel/ Name,,,,
Description,Keterangan,,,説明、詳細,الوصف,,,,Beskrivning,Paglalarawan,Descripción,Beschreibung,,,,
"A report by Jasper Fuk-Woo Chan and colleagues, documented infections in health-care workers caring for patients with COVID-19 indicate human-to-human transmission and thus the risk of much wider spread of the disease.",,,,Jasper Fuk-Woo Chanとその同僚による報告では、COVID-19の患者の世話をする医療従事者の感染が報告されており、ヒトからヒトへの感染が確認され、このウィルスの感染が大幅に広がるリスクが示されています。,تقرير بواسطة جاسبر فوك وو تشان و زملاء آخرين يوثق انتقال العدوى بين عاملي المجال الطبي القائمين على رعاية مرضى فيروس كورونا المستجد و يوضح أن الفيروس يمكنه أن ينتقل من شخص إلى أخر، و لذا فإن المرض يمكنه الانتشار بشكل موسع.,,,,"En rapport av Jasper-Fuk-Woo Chan och kollegor, dokumenterade infektioner gällande sjukvårdspersonal som tagit hand om patienter med COVID-19 indikerar människa till människa smitta och därmed en högre risk för en mer omfattande smittspridning av sjukdomen.","Ang isang ulat ni Jasper Fuk-Woo Chan at mga kasamahan, na naitala ang mga impeksyon sa mga manggagawa sa pangangalaga sa kalusugan ng mga pasyente na may COVID-19 ay nagpapahiwatig ng paghahatid ng tao-sa-tao at sa gayon ang panganib ng mas malawak na pagkalat ng sakit","En este reporte, Jasper Fuk-Woo Chan y sus colegas documentaron las infecciones entre trabajadores de salud que cuidaban de pacientes con COVID-19. Indicaron el factor de transmisión de persona a persona y el alto riesgo de contagio de la enfermedad. ",,,,,
"For the third time in as many decades, a zoonotic coronavirus has crossed species to infect human populations. This virus, provisionally called COVID-19, was first identified in Wuhan, China, in persons exposed to a seafood or wet market.",,,,何十年もわたって、人畜共通コロナウィルスが人間に感染したのは今回で３回目です。このウィルスは暫定的にCOVID-19と呼ばれ、中国の武漢でシーフードやウェットマーケットにさらされた人に初めて発見されました。,للمرة الثالثة خلال عقدين، ينتقل فيروس تاجي يصيب الحيوانات فقط إلى البشر. و كان أول ظهور لهذا الفيروس، و الذي تمت تسميته مؤقتا باسم  فيروس كورونا المستجد COVID-19، في سوق للمأكولات البحرية في مدينة ووهان بالصين.,,,,"För tredje gången på lika många årtionde, har ett zoonoser coronavirus överförts och smittat mänskliga populationer. Det här viruset, provisoriskt kallat COVID-19, identifierades först i Wuhan, Kina, hos personer som exponerats för skaldjur eller marknader.","Sa ikatlong pagkakataon sa maraming dekada, isang zoonotic na tipo ng coronavirus ang lumakdang sa mga species ng hayop upang hawaan ang populasyon ng tao. Ang virus na ito na tinawag na COVID-19 sa umpisa, ay unang nakita sa Wuhan, China mula sa mga taong na-expose sa isang pamilihan ng seafood o wet market. ","Por tercera vez en muchas decadas, un coronavirus de origen animal ha atravesado especies y ha infectado a las poblaciones humanas. El virus, provisionalmente llamado COVID-19 fue identificado en Wuhan, China en personas que visitaban mercados de productos animales.",,,,,
An online dashboard to visualize and track the reported cases on a daily timescale,,,,確認されたケースを追跡し、日単位で視覚化するオンラインダッシュボード,لوحة عرض بيانية تفاعلية ترسم و تتبع الحالات المسجلة بشكل يومي.,,,,En online översikt för att visualisera och spåra de rapporterade fallen på en daglig tidsplan.,"
Isang online dashboard upang mailarawan at subaybayan ang naiulat na mga kaso sa pang-araw-araw.",Un tablero virtual en el que se puede visualizar y monitorear los casos reportados diariamente.,,,,,
"If you believe any of the source information above is inaccurate, please lodge a report using the following",,,,上記の情報が不正確であると思われる場合、下記から報告ください。,إذا كنت تعتقد بأن أي من المصادر الواردة أعلاه غير دقيقة، فأبلغنا عنها باستخدام هذا,,,,"Om du anser att någon utav informationen från källorna inte stämmer, snälla skicka en rapport genom att använda följande","Kung naniniwala ka na ang alinman sa mga mapagkukunan ng impormasyon sa itaas ay hindi tama, mangyaring maglagay ng ulat gamit ang sumusunod","Si usted cree que la información de arriba es incorrecta, por favor repórtela a través de esta ",,,,,
form,borang,,,お問い合わせ,النموذج,,,,form,form,forma,,,,,
Heroes behind,Wira-wirawati disebalik,,幕後英雄,プロジェクトメンバー,الأبطال وراء,,,,Hjältar bakom,Ang mga pangunahing tauhan sa likod ng CoronaTracker,Héroes detrás del,,,,,
Project Lead,Ketua Projek,项目发起人,項目發起人,プロジェクトリーダー,مدير المشروع,,,,Projektledare,Project Lead,Líder de Proyecto,,,,,
Lead Data Scientist,Ketua Sains Data,,首席數據科學家,データサイエンティストチームリーダー,مدير علم البيانات,,,,Ansvarig Data Scientist,Pinunong Data Scientist,Líder de Científicos de Datos,,,,,
Lead Full Stack Engineer,Ketua Jurutera Full Stack,,首席工程師,フルスタックエンジニアチームリーダー,مدير برمجة الخوادم,,,,Ansvarig Fullstack Utvecklare,Pinunong Full Stack Engineer,Líder de Desarrolladores Fullstack,,,,,
Lead Mobile Developer,Ketua Pembangun Aplikasi Mudah Alih,手机应用程式开发,手機應用程式開發,モバイルアプリ開発チームリーダー,مدير تطوير الموبايل,,,,Ansvarig Mobilutvecklare,Pinunong Mobile Developer,Líder de Desarrolladores de Móbil,,,,,
Lead Analyst,Ketua Penganalisis,,,データ分析チームリーダー,مدير التحليل,,,,Ansvarig Analytiker,Pinunong Analyst,Líder de Análisis,,,,,
Head of Public Relation,Ketua Perhubungan Awam,,,広報チームリーダー,مدير العلاقات العامة,,,,PR-ansvarig,Namumuno sa Public Relations,Jefe de Relaciones Públicas,,,,,
Head of Product,Ketua Produk,产品负责人,產品負責人,プロダクトマネージャー,مدير المنتجات,,,,Produktchef,Namumuno sa Produkto,Jefe de Producto,,,,,
Lead Researcher,Ketua Penyelidikan,,,研究チームリーダー,مدير الباحثيين,,,,Ansvarig forskare,Punong Tagasaliksik,Líder de Investigación,,,,,
LinkedIn,LinkedIn,,LinkedIn,LinkedIn,لينكدين,,,,LinkedIn,LinkedIn,LinkedIn,,,,,
Team Analytics,Pasukan Analisis,分析组,分析組,分析チーム,فريق التحليل,,,,Analysteam,Team Analytics,Equipo de Análisis,,,,,
Team Research,Pasukan Penyelidikan,研究组,研究組,研究チーム,فريق البحث,,,,Forskarteam,Team Research,Equipo de Investigación,,,,,
Team Engineering,Pasukan Kejuruteraan,程序组,程序組,エンジニアリングチーム,فريق البرمجة,,,,Ingenjörsteam,Team Engineering,Equipo de Desarrollo,,,,,
Team Design,Pasukan Reka Bentuk,设计组,設計組,デザインチーム,فريق التصميم,,,,Designteam,Team Design,Equipo de Diseño,,,,,
Team Public Relations,Pasukan Perhubungan Awam,,公關組,広報チーム,,,,,,Team Public Relations,Equipo de Relaciones Públicas,,,,,
View more,Lain-lain,其他,其他,その他,عرض المزيد,,,,Se mer,Karagdagang view,Ver más,,,,,
,,,,,,,,,,,,,,,,
https://www.coronatracker.com/country/us,,,,,,,,,,,,,,,,
Fatality Rate,Kadar Kematian,,,死亡比率,,,,,,Fatality Rate,,,,,,
Positive Rate,Kadar Sembuh,,,完治比率,,,,,,Positive Rate,,,,,,
OF TOTAL CASES,daripada keseluruhan kes,,,全感染者数から,,,,,,NG TOTAL NG MGA KASO,,,,,,
Time taken from confirmation to discharge,Masa dari ,,,,,,,,,Oras mula kumpirmasyon hanggang discharge,,,,,,
{number} days,{number} hari,,,,,,,,,{number} araw,,,,,,
+{number} since yesterday,{number} sejak semalam,,,,,,,,,+{number} mula kahapon,,,,,,
Critical Cases treated in ICU,kes kritikal di ICU,,,,,,,,,Mga Kritikal na Kaso sa ICU,,,,,,
of total cases,daripada jumlah kes,,,全感染者数から,,,,,,ng total na mga kaso,,,,,,
Daily Cases Receiving Treatment,Kes rawatan harian,,,毎日治療を受けている患者者数,,,,,,Kaso sa Araw-araw na Tumatanggap ng Pangangalagang Medikal,,,,,,
Daily Confirmed Cases,Kes baharu harian,,,毎日感染者数,,,,,,Kumpirmadong Kaso sa Araw-araw,,,,,,
Per Million Population,Per sejuta populasi,,,１００万毎の人数,,,,,,Per Million Population,,,,,,
Past 14 Days Chart,Carta 14 hari lepas,,,14日前までのチャート,,,,,,Chart ng Nakaraang 14 na Araw,,,,,,
,,,,,,,,,,,,,,,,
COVID-19 Corona Tracker,,,,,,,,,,,,,,,,
COVID-19 Corona Tracker: The only independent World Health Organization (WHO) recognized one stop platform for verified data and news.,COVID-19 Corona Tracker: Platform berita dan data sahih berkenaan COVID-10 yang diiktiraf World Health Organization (WHO).,,,,,,,,,,,,,,,
COVID-19 {country} Corona Tracker,COVID-19 {country} Corona Tracker,,,,,,,,,,,,,,,
{country} COVID-19 Corona Tracker: The only independent World Health Organization (WHO) recognized one stop platform for verified data and news.,{country} COVID-19 Corona Tracker: Platform berita dan data sahih berkenaan COVID-10 yang diiktiraf World Health Organization (WHO).,,,,,,,,,,,,,,,
"COVID-19 related analytics, graphs, and charts","Carta, graf, dan analitik berkenaan COVID-19",,,,,,,,,,,,,,,
"Visual presentations of COVID-19 related data from verified sources such as WHO, CDC, ECDC, NHC of the PRC, JHU CSSE, DXY, QQ, and various international media.","Presentasi visual data berkenaan COVID-19 adalah daripada sumber sahih seperti WHO, CDC, ECDC, NHC of the PRC, JHU CSSE, DXY, QQ, dan pelbagai media antarabangsa.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Share,Ketik kongsi,,,,,,,,,,,,,,,
Global COVID-19 Stats Today,Statistik Global COVID-19 Hari Ini,,,,,,,,,,,,,,,
COVID-19 Stats Today,Statistik COVID-19 Hari Ini,,,,,,,,,,,,,,,
Critical Cases in ICU,Kes kritikal di ICU,,,,,,,,,,,,,,,
Cases Receiving Treatment,Kes sedang dirawat,,,,,,,,,,,,,,,
COVID-19 Past 14 Days Cases,Kes COVID-19 14 Hari Lepas,,,,,,,,,,,,,,,
